,Date,Duration,Distance,id,Game Day,Days Before Match,Days After Match
1503,2019-07-27 00:00:00,30.0,3846.16223144531,39,1,0,0
1265,2019-08-07 00:00:00,28.0,2910.9277839660604,39,1,0,0
1101,2019-08-18 00:00:00,79.0,7578.82740020752,39,1,0,0
1247,2019-08-24 00:00:00,18.033332824707,1375.66727638245,39,1,0,0
1248,2019-08-24 00:00:00,110.0,10393.6421508789,39,1,0,0
495,2019-08-31 00:00:00,110.0,10380.6767578125,39,1,0,0
233,2019-09-15 00:00:00,110.0,9811.44010925293,39,1,0,0
1655,2019-09-22 00:00:00,110.0,9828.94598388672,39,1,0,0
207,2019-09-25 00:00:00,110.0,10567.8732147217,39,1,0,0
1135,2019-09-28 00:00:00,110.0,9696.21362304688,39,1,0,0
173,2019-10-06 00:00:00,110.0,9930.057006835941,39,1,0,0
773,2019-10-31 00:00:00,17.1833324432373,1297.87773633003,39,1,0,0
774,2019-10-31 00:00:00,83.0,6717.544921875,39,1,0,0
906,2019-11-24 00:00:00,110.0,10459.055175781301,39,1,0,0
291,2019-12-01 00:00:00,110.0,10028.3115386963,39,1,0,0
307,2019-12-08 00:00:00,116.800003051758,13264.455352783201,39,1,0,0
190,2019-12-12 00:00:00,110.0,11225.554992675801,39,1,0,0
1598,2019-12-15 00:00:00,110.0,11808.355224609399,39,1,0,0
564,2019-12-21 00:00:00,110.0,10715.1542663574,39,1,0,0
127,2020-01-04 00:00:00,110.0,10173.7630004883,39,1,0,0
1334,2020-01-17 00:00:00,110.0,11108.944519043,39,1,0,0
1335,2020-01-17 00:00:00,17.483333587646502,1311.89340877533,39,1,0,0
471,2020-01-26 00:00:00,110.0,10759.2477722168,39,1,0,0
52,2020-02-02 00:00:00,110.0,11122.6297149658,39,1,0,0
759,2020-02-08 00:00:00,110.0,10621.6868286133,39,1,0,0
1231,2020-02-20 00:00:00,110.0,9971.24069213867,39,1,0,0
897,2020-02-23 00:00:00,110.0,9798.27493286133,39,1,0,0
1644,2020-02-27 00:00:00,110.0,6973.74021339417,39,1,0,0
668,2020-03-01 00:00:00,110.0,10728.2688446045,39,1,0,0
587,2020-03-07 00:00:00,99.0,9409.3974609375,39,1,0,0
588,2020-03-07 00:00:00,25.1166667938232,1353.05945682526,39,1,0,0
675,2020-06-12 00:00:00,110.0,9556.66159820557,39,1,0,0
887,2020-06-16 00:00:00,110.0,10079.8981628418,39,1,0,0
920,2020-06-20 00:00:00,94.0,8842.17474365234,39,1,0,0
257,2020-06-23 00:00:00,110.0,10886.6891555786,39,1,0,0
725,2020-06-29 00:00:00,110.0,8677.24433898926,39,1,0,0
726,2020-06-29 00:00:00,17.1833324432373,1233.3727569580099,39,1,0,0
282,2020-07-02 00:00:00,92.0,8574.62750244141,39,1,0,0
283,2020-07-02 00:00:00,17.266666412353498,1278.76726150513,39,1,0,0
1150,2020-07-05 00:00:00,83.0,9924.79289245605,39,1,0,0
1415,2020-07-19 00:00:00,125.09066772460899,10278.238206555401,39,1,0,0
1315,2020-09-12 00:00:00,68.3166656494141,1371.6698551178,39,1,0,0
1325,2020-09-19 00:00:00,111.433334350586,10037.1349105835,39,1,0,0
328,2020-09-26 00:00:00,111.233329772949,12167.3765411377,39,1,0,0
459,2020-09-29 00:00:00,110.050003051758,9036.22988128662,39,1,0,0
423,2020-10-03 00:00:00,106.183334350586,10461.7431030273,39,1,0,0
343,2020-10-17 00:00:00,117.449996948242,12052.2148132324,39,1,0,0
503,2020-10-25 00:00:00,118.366668701172,10481.7554016113,39,1,0,0
333,2020-11-01 00:00:00,116.199996948242,11515.5130462647,39,1,0,0
191,2020-11-22 00:00:00,110.690673828125,9656.45135468193,39,1,0,0
964,2020-11-29 00:00:00,103.766670227051,9363.73364257813,39,1,0,0
1281,2020-12-20 00:00:00,114.366668701172,9627.55617523193,39,1,0,0
1360,2020-12-23 00:00:00,111.21666717529301,10426.1012878418,39,1,0,0
1451,2021-01-02 00:00:00,113.733329772949,10477.2202606201,39,1,0,0
1555,2021-01-11 00:00:00,110.82399749755899,9329.99013712975,39,1,0,0
689,2021-01-20 00:00:00,113.349998474121,10652.048583984399,39,1,0,0
320,2021-01-25 00:00:00,110.166664123535,11320.0139923096,39,1,0,0
557,2021-01-31 00:00:00,110.96666717529301,10400.9473571777,39,1,0,0
1249,2021-02-06 00:00:00,116.933334350586,11938.7304077148,39,1,0,0
344,2021-02-09 00:00:00,109.150001525879,10334.4779052734,39,1,0,0
1390,2021-02-14 00:00:00,112.633331298828,6349.359245300289,39,1,0,0
1307,2021-02-27 00:00:00,115.099998474121,10313.614944458,39,1,0,0
784,2021-03-06 00:00:00,112.699996948242,8551.91566085816,39,1,0,0
65,2021-03-13 00:00:00,30.254667282104503,3111.20540899427,39,1,0,0
1752,2018-08-19 00:00:00,21.5840015411377,2683.11271083595,41,1,0,0
1747,2018-08-24 00:00:00,104.210662841797,9338.49473703557,41,1,0,0
1793,2018-08-31 00:00:00,99.3953323364258,8551.5798755858,41,1,0,0
1730,2018-09-16 00:00:00,78.07066345214841,7635.80010219845,41,1,0,0
1692,2018-09-22 00:00:00,112.087333679199,9630.83728494698,41,1,0,0
1788,2018-09-27 00:00:00,86.3826675415039,7852.104263443059,41,1,0,0
1704,2018-10-01 00:00:00,90.1173324584961,8464.93384312402,41,1,0,0
1762,2018-10-06 00:00:00,31.8173332214355,3377.3503121507897,41,1,0,0
290,2018-10-21 00:00:00,81.5306701660156,7115.110939298241,41,1,0,0
1116,2018-10-28 00:00:00,86.7653350830078,7849.96002383961,41,1,0,0
1448,2018-10-31 00:00:00,15.0,1403.9072429822102,41,1,0,0
189,2018-11-04 00:00:00,87.9246673583984,8177.36741407937,41,1,0,0
327,2018-11-10 00:00:00,79.38800048828129,7481.38950001035,41,1,0,0
355,2018-11-25 00:00:00,21.3340015411377,2645.9760937763103,41,1,0,0
1063,2018-12-01 00:00:00,21.148000717163104,2436.15056743892,41,1,0,0
1161,2018-12-04 00:00:00,110.0,9883.91167621397,41,1,0,0
656,2018-12-15 00:00:00,94.7733306884766,9049.22671554228,41,1,0,0
1425,2018-12-21 00:00:00,98.0,12818.750671386699,41,1,0,0
703,2019-01-06 00:00:00,89.0,8830.67990112305,41,1,0,0
1038,2019-01-09 00:00:00,21.0,141.34770905971502,41,1,0,0
905,2019-01-12 00:00:00,7.3320002555847195,893.595370072184,41,1,0,0
1412,2019-01-15 00:00:00,110.0,11721.7508087158,41,1,0,0
657,2019-01-18 00:00:00,19.0,1914.32970619202,41,1,0,0
610,2019-01-22 00:00:00,84.0,8014.5158996581995,41,1,0,0
597,2019-01-26 00:00:00,110.0,10035.2279815674,41,1,0,0
1607,2019-02-02 00:00:00,85.0,8389.36771392822,41,1,0,0
332,2019-02-09 00:00:00,12.0,3.19688618183136,41,1,0,0
642,2019-02-15 00:00:00,88.0,9095.82148742676,41,1,0,0
1532,2019-02-23 00:00:00,4.0,30.1051740050316,41,1,0,0
570,2019-03-03 00:00:00,10.0,341.177034378052,41,1,0,0
571,2019-03-09 00:00:00,61.2946662902832,5211.86333603568,41,1,0,0
666,2019-03-17 00:00:00,5.67600011825562,992.5055998118061,41,1,0,0
1543,2019-03-30 00:00:00,36.5993309020996,4051.56799123024,41,1,0,0
171,2019-04-02 00:00:00,110.0,11039.9883880615,41,1,0,0
1079,2019-04-07 00:00:00,40.0,4471.16018676758,41,1,0,0
1641,2019-04-14 00:00:00,81.0,7521.24708557129,41,1,0,0
232,2019-04-21 00:00:00,10.3466663360596,1438.45185550163,41,1,0,0
