"Date","Duration","Distance","vel_d_1_0_18","vel_t_1_0_18","vel_c_1_0_18","vel_d_1_18_25","vel_t_1_18_25","vel_c_1_18_25","vel_d_1_25_50","vel_t_1_25_50","vel_c_1_25_50","met_d_8_0_20","met_d_8_20_1000","max_speed","body_load","max_hr","avg_hr","avg_speed","id"
"2020-02-14 00:00:00",92.0666656494141,5488.28693962097,5380.08148193359,67.903400182724,1859,108.205457687378,0.339649986475706,18,0,0,0,4903.94019889832,584.346740722656,23.0555992126465,63.8696556091309,156,101,4.70076608657837,944
"2020-11-28 00:00:00",96.1666641235352,6105.10400104523,5932.68334960938,65.7900006771088,1764,162.877746582031,0.503316663205624,31,9.5429048538208,0.023333333432674,2,5336.36315631866,768.740844726563,25.6469993591309,75.8600692749023,156,111,5.37847709655762,944
"2021-02-10 00:00:00",64.9166641235352,4369.49727153778,4304.86129760742,50.7457998991013,177,58.0603733062744,0.09686666727066,4,6.57560062408447,0.006833333522081,1,3837.58040142059,531.916870117188,27.3240013122559,69.1502380371094,164,133,4.76000118255615,944
"2020-01-03 00:00:00",78.5666656494141,5357.47899246216,5085.33850097656,55.1130313873291,1866,245.758377075195,0.736333310604095,68,26.3821144104004,0.063000001013279,4,4395.35326004028,962.125732421875,28.6422004699707,85.7924194335937,184,132,5.57764196395874,58
"2020-07-11 00:00:00",76.3833312988281,4036.39050292969,3748.90826416016,42.1256656646729,1311,269.196105957031,0.811983332037926,54,18.2861328125,0.04333333298564,2,3406.65197753906,629.738525390625,28.5834007263184,64.4506530761719,184,121,5.42285013198853,58
"2021-02-25 00:00:00",68.6500015258789,4034.58506965637,3911.03955078125,47.7488511800766,69,105.559734344482,0.21683332696557,8,17.9857845306396,0.031666666269302,1,3619.97297859192,414.612091064453,33.4583969116211,52.989574432373,144,118,4.81288719177246,96
"2019-11-05 00:00:00",67.783332824707,4773.21813583374,4536.10571289063,46.5107827186584,1592,225.910987854004,0.676666662096977,45,11.2014350891113,0.029999999329448,3,4200.26916122437,572.948974609375,25.2942008972168,56.3757057189941,168.223520299604,119.348503280549,5.92511749267578,1003
"2020-02-16 00:00:00",68.0833358764648,5580.88381958008,4754.41693115234,53.7541854381561,1634,545.823486328125,1.53683334589005,74,280.643402099609,0.678333342075348,15,4347.83255004883,1233.05126953125,27.3743991851807,68.21044921875,164,138,5.83732652664185,1003
"2019-02-27 00:00:00",56.1166648864746,2788.70080518723,2729.7760925293,32.0460827350616,1673,56.0638723373413,0.168666660785675,32,2.86084032058716,0.006666666828096,4,2558.20629835129,230.494506835937,24.4727993011475,48.2325744628906,147,111,5.05600881576538,50
"2019-02-27 00:00:00",113.966667175293,6232.13220596313,5972.41943359375,71.5859346389771,4532,225.670272827148,0.658999994397163,173,34.0424995422363,0.079666666686535,24,5270.97113418579,961.161071777344,28.663200378418,131.582168579102,187,127,5.01398229598999,50
"2020-08-29 00:00:00",111.066665649414,5961.25938796997,5093.51879882813,60.1447985172272,2376,823.131805419922,2.32433331012726,90,44.6087837219238,0.111666664481163,14,4844.03038406372,1117.22900390625,24.971399307251,114.381309509277,183,126,5.52718830108643,50
"2020-08-29 00:00:00",101.866668701172,6000.66049766541,5882.79107666016,65.9227025508881,2444,105.171098709106,0.325166653841734,32,12.6983222961426,0.03150000050664,3,5297.08054161072,703.579956054687,25.1082000732422,111.969619750977,182,122,5.27681398391724,50
"2021-03-02 00:00:00",115.716667175293,6723.52669906616,6364.533203125,72.3872148990631,256,353.269737243652,0.647883340716362,16,5.72375869750977,0.003166666720063,1,5608.74532699585,1114.78137207031,24.9911994934082,131.753021240234,185,140,5.01834058761597,50
"2019-09-23 00:00:00",62.5833320617676,4431.26115059853,4257.16815185547,43.7110328674316,2403,171.363273620605,0.510000005364418,94,2.72972512245178,0.006666666828096,2,3775.80137276649,655.459777832031,24.8832015991211,63.8593368530273,188,149,5.898362159729,946
"2021-02-15 00:00:00",29.783332824707,2391.47704148293,2391.47704148293,19.6828329595737,18,0,0,0,0,0,0,2391.47704148293,0,13.125599861145,21.4220924377441,140,111,7.09615993499756,98
"2019-09-07 00:00:00",75.1833343505859,4440.72779464722,4282.63464355469,50.3866486549377,2247,158.093151092529,0.475166648626328,29,0,0,0,3745.71570968628,695.012084960938,23.6525993347168,62.4038200378418,174.056814205904,124.105498905906,5.12973022460938,56
"2018-12-14 00:00:00",70.1666641235352,5454.78657341003,5208.39208984375,52.8672156333923,2925,218.055187225342,0.644483342766762,117,28.3392963409424,0.06700000166893,9,4581.949842453,872.836730957031,27.2988014221191,71.8103866577148,172,125,6.00177955627441,57
"2019-08-27 00:00:00",46.5499992370606,2803.19990158081,2500.69277954102,30.6144334077835,1625,265.278114318848,0.779833346605301,180,37.2290077209473,0.088166669011116,25,2320.46775436401,482.732147216797,26.6580009460449,40.1853752136231,169,117,5.24358081817627,57
"2019-08-27 00:00:00",129.58332824707,9368.57767105103,8719.69885253906,88.9597997665405,5553,632.696731567383,1.8648334145546,384,16.1820869445801,0.036499999463558,17,7562.6604347229,1805.91723632813,26.8812007904053,135.30143737793,185,148,6.07945871353149,57
"2019-08-01 00:00:00",84.9166641235352,4604.96189308167,4560.07653808594,54.0504667758942,2541,44.8853549957275,0.13318333402276,34,0,0,0,4070.55704689026,534.404846191406,22.6080017089844,56.7283706665039,162.502416084448,111.100303660183,4.97496891021729,388
