"Date","Duration","Distance","id"
"2019-07-21 00:00:00",64,5604.55034637451,668
"2019-11-14 00:00:00",110,10942.2846617216,386
"2019-10-27 00:00:00",88,9971.92276000977,947
"2020-02-15 00:00:00",110,10357.4077453613,1005
"2021-02-19 00:00:00",111.266670227051,9814.95668029785,944
"2020-02-23 00:00:00",64.0380020141602,5023.36768013199,41
"2018-10-21 00:00:00",110,8938.86711883545,50
"2020-02-08 00:00:00",110,8807.50189208984,50
"2018-12-15 00:00:00",84,8718.73069763184,54
"2019-04-21 00:00:00",92,8617.34095001221,46
"2018-12-15 00:00:00",110,9752.39716339111,91
"2020-10-17 00:00:00",117.449996948242,12368.7438659668,51
"2019-12-15 00:00:00",110,12116.5749664307,44
"2021-02-06 00:00:00",116.933334350586,11924.7994995117,2401
"2019-01-12 00:00:00",110,12361.9359283447,57
"2020-07-08 00:00:00",16.4500007629395,1196.28405189514,510
"2020-07-08 00:00:00",26,3958.62819671631,510
"2019-10-03 00:00:00",19,2508.50099945068,945
"2020-02-08 00:00:00",110,10875.2306518555,945
"2019-12-12 00:00:00",96,8829.72785949707,44
"2019-04-14 00:00:00",110,9663.1262512207,39
"2020-06-20 00:00:00",94,9680.68643951416,1003
"2019-02-09 00:00:00",110,9144.15243530273,50
"2019-10-03 00:00:00",110,12556.982421875,946
"2019-08-31 00:00:00",110,11450.7469024658,44
"2021-02-09 00:00:00",109.150001525879,11558.858291626,386
"2020-06-20 00:00:00",77,8023.72466278076,41
"2020-01-04 00:00:00",110,10173.7630004883,39
"2019-12-12 00:00:00",14,2128.81083106995,1003
"2019-12-21 00:00:00",110,10788.3643493652,945
"2020-01-26 00:00:00",110,11313.6311035156,44
"2019-05-12 00:00:00",110,11632.4931793213,386
"2021-02-19 00:00:00",53.0833320617676,1668.06593513489,2366
"2019-08-24 00:00:00",29,5292.66059875488,944
"2019-08-24 00:00:00",18.033332824707,1402.71933746338,944
"2020-09-26 00:00:00",61.1833343505859,4817.64002990723,41
"2019-01-09 00:00:00",110,3343.56814314963,54
"2019-02-02 00:00:00",110,11697.9274139404,388
"2019-10-31 00:00:00",110,11609.908996582,213
"2019-10-31 00:00:00",17.1833324432373,1271.91436064243,213
"2019-03-09 00:00:00",64,5635.20119476318,46
"2020-03-01 00:00:00",110,11972.5429534912,386
"2020-03-07 00:00:00",25.1166667938232,1317.37426733971,386
"2020-03-07 00:00:00",110,10973.733001709,386
"2020-03-07 00:00:00",24.9833335876465,1231.69688129425,1004
"2020-03-07 00:00:00",25,3077.52670288086,1004
"2019-02-15 00:00:00",110,12327.0655517578,38
"2020-11-29 00:00:00",113.516670227051,9659.54055786133,945
"2020-12-23 00:00:00",111.216667175293,12142.9523620605,44
"2019-04-25 00:00:00",110,11666.5009460449,386
"2021-02-14 00:00:00",112.633331298828,7352.70669555664,386
"2019-04-02 00:00:00",95,5829.29563903809,387
"2019-01-18 00:00:00",110,9999.81781005859,39
"2020-06-12 00:00:00",110,7738.13003540039,50
"2019-05-12 00:00:00",64,6528.8452911377,57
"2020-07-19 00:00:00",88,9521.19729614258,103
"2019-05-05 00:00:00",110,11548.7091064453,46
"2019-01-12 00:00:00",110,10180.6696929932,91
"2019-10-31 00:00:00",61,4735.68748474121,91
"2019-10-31 00:00:00",17.1833324432373,1235.91520786285,91
"2019-11-07 00:00:00",110,10557.4223709106,51
"2019-03-09 00:00:00",110,11254.185836792,44
"2019-01-12 00:00:00",110,11360.6070022583,386
"2019-01-26 00:00:00",72,7777.12680053711,38
"2020-03-07 00:00:00",110,11201.6116638184,944
"2020-03-07 00:00:00",25.1166667938232,1262.18668746948,944
"2019-09-06 00:00:00",95,9194.50900357404,56
"2020-01-11 00:00:00",84,8572.13255310059,103
"2019-01-26 00:00:00",103,8979.72332763672,50
"2019-03-17 00:00:00",80,7844.7811126709,44
"2021-01-31 00:00:00",110.966667175293,9817.59022521973,2401
"2019-04-02 00:00:00",110,11039.9883880615,41
"2021-02-14 00:00:00",76.5500030517578,4982.81868743897,1313
"2019-10-06 00:00:00",110,9930.05700683594,39
"2021-02-19 00:00:00",111.266670227051,10234.1761474609,98
"2019-01-29 00:00:00",110,12913.3752288818,46
"2019-01-18 00:00:00",110,10165.4822692871,91
"2019-03-09 00:00:00",110,9939.23863220215,91
"2019-11-10 00:00:00",110,10359.3679199219,945
"2018-11-25 00:00:00",110,11823.7848129272,39
"2021-01-02 00:00:00",64.0833358764648,5198.08702850342,1003
"2020-09-29 00:00:00",56.6500015258789,3771.91492462158,98
"2019-01-22 00:00:00",97,10155.0085906982,57
"2018-12-15 00:00:00",110,11506.6877212524,46
"2019-12-15 00:00:00",100,10959.5154724121,945
"2020-06-29 00:00:00",17.6833324432373,1224.16129589081,51
"2020-06-29 00:00:00",110,11137.8218994141,51
"2019-01-06 00:00:00",110,11357.2362976074,44
"2019-07-21 00:00:00",61,6266.03093719482,44
"2018-11-04 00:00:00",87.9246673583984,8177.36741407937,41
"2019-12-12 00:00:00",110,11225.5549926758,39
"2020-11-22 00:00:00",110.690673828125,9656.45135468193,39
"2018-10-21 00:00:00",110,11451.1059265137,389
"2020-07-02 00:00:00",17.2666664123535,1312.04526901245,56
"2021-01-25 00:00:00",104.150001525879,8081.04144668579,213
"2019-09-19 00:00:00",92,10196.3245239258,1004
"2020-09-26 00:00:00",108.143333435059,9806.81399313173,944
"2020-06-12 00:00:00",11,1531.41063308716,58
"2019-03-17 00:00:00",110,12246.3526611328,39
"2019-10-24 00:00:00",110,11476.4124069214,56
"2019-10-24 00:00:00",33.0166664123535,1555.60244941711,56
"2019-11-24 00:00:00",93,7637.68405151367,945
"2020-11-08 00:00:00",110.766670227051,11257.7226104736,44
"2018-10-31 00:00:00",108.849998474121,11857.3205718994,386
"2018-12-07 00:00:00",10,30.2232670783997,38
"2019-08-31 00:00:00",110,11118.6094055176,944
"2020-12-05 00:00:00",95.4499969482422,8554.93112182617,1875
"2019-09-25 00:00:00",110,10567.8732147217,39
"2018-12-01 00:00:00",69,6539.46932983398,389
"2019-05-12 00:00:00",61,5887.08476257324,54
"2019-03-03 00:00:00",110,12129.7052612305,51
"2020-09-12 00:00:00",108.983329772949,11152.4557571411,51
"2019-12-01 00:00:00",110,10972.8096008301,386
"2019-10-24 00:00:00",110,10879.4389953613,1004
"2019-10-24 00:00:00",33.0166664123535,1291.78845214844,1004
"2020-03-01 00:00:00",7.69933319091797,1079.07147253492,1003
"2019-02-23 00:00:00",110,10485.0016479492,389
"2020-10-11 00:00:00",2,130.040738618613,69
"2019-04-28 00:00:00",66,5445.50217437744,46
"2020-06-23 00:00:00",31,4397.48865890503,46
"2019-10-06 00:00:00",110,11369.2127380371,91
"2020-06-23 00:00:00",110,11176.2346954346,51
"2020-02-23 00:00:00",37,4369.14436340332,44
"2019-07-21 00:00:00",61,5922.02876281738,947
"2020-07-13 00:00:00",110,8690.16091918945,50
"2019-03-09 00:00:00",110,11308.3197631836,213
"2020-06-29 00:00:00",17.6666660308838,1195.83071708679,945
"2020-06-29 00:00:00",97,9307.67724609375,945
"2021-01-31 00:00:00",110.966667175293,11305.3143005371,44
"2020-07-02 00:00:00",17.2666664123535,1340.34737300873,386
"2020-07-02 00:00:00",110,11542.8404083252,386
"2019-02-09 00:00:00",86,8422.31256103516,409
"2019-04-21 00:00:00",10.3466663360596,1438.45185550163,41
"2019-09-15 00:00:00",110,9811.44010925293,39
"2019-03-09 00:00:00",110,9274.74546813965,50
"2020-12-20 00:00:00",114.366668701172,8673.55934143066,50
"2019-03-03 00:00:00",110,11328.7103271484,213
"2020-07-08 00:00:00",16.4500007629395,1206.25536155701,51
"2020-07-08 00:00:00",110,10656.7236328125,51
"2020-06-16 00:00:00",110,11110.0128936768,386
"2020-09-29 00:00:00",109.883331298828,10165.8147735596,944
